ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
disodium_guanylate,"A flavor enhancer that boosts savory (umami) taste.","It makes food taste richer and more intense.","It is often used together with MSG for a stronger effect.","caution","Generally safe, but strongly linked to processed foods.","caution","Safe for dogs in small amounts, but unnecessary in natural diets.","caution","Safe for cats in small amounts, but not nutritionally useful.","HealthyWhooo profile v1"
dipotassium_guanylate,"A flavor enhancer used to intensify savory taste.","It helps create a stronger umami flavor in foods.","It is usually combined with other enhancers like MSG.","caution","Approved for use, but mainly found in processed foods.","caution","Safe for dogs in small amounts, but unnecessary.","caution","Safe for cats in small amounts and not needed.","HealthyWhooo profile v1"
calcium_guanylate,"A nucleotide-based flavor enhancer.","It improves savory taste in food products.","It belongs to a group of compounds that enhance umami flavor.","caution","Generally safe, but typical of processed foods.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
inosinic_acid,"A natural compound used to enhance savory flavor.","It boosts umami taste in foods.","It naturally occurs in meat and fish.","caution","Generally safe, but often used in processed foods.","safe","Safe for dogs and naturally present in meat.","safe","Safe for cats and part of animal-based foods.","HealthyWhooo profile v1"
disodium_inosinate,"A flavor enhancer that intensifies savory taste.","It is often used in combination with MSG.","It can be derived from natural sources like meat or fish.","caution","Generally safe, but strongly linked to processed foods.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
dipotassium_inosinate,"A nucleotide-based flavor enhancer.","It strengthens umami taste in foods.","It is commonly used in instant and processed products.","caution","Approved for use, but typical of processed foods.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
calcium_inosinate,"A flavor enhancer that boosts savory (umami) taste.","It makes food taste richer and more intense.","It belongs to the same group as other umami enhancers often used with MSG.","caution","Generally safe, but strongly linked to processed foods.","caution","Safe for dogs in small amounts, but unnecessary in natural diets.","caution","Safe for cats in small amounts and not nutritionally useful.","HealthyWhooo profile v1"
calcium_ribonucleotides,"A mix of compounds that enhance savory flavor.","They make food taste more intense and satisfying.","They are often combined with MSG to amplify flavor even more.","caution","Approved for use, but typical of processed foods.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
disodium_ribonucleotides,"A mixture of flavor enhancers that boost umami taste.","They make food taste richer without adding new flavors.","They are one of the most common flavor-boosting additives in processed foods.","caution","Generally safe, but strongly associated with ultra-processed products.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
curcumin,"A natural yellow pigment from turmeric.","It is used to color foods yellow or orange.","It comes from a spice used in cooking for thousands of years.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
riboflavin,"A vitamin (vitamin B2) used as a coloring agent.","It gives foods a bright yellow color.","It is both a nutrient and a color at the same time.","safe","Safe and essential for normal body function.","safe","Safe for dogs and supports metabolism.","safe","Safe for cats and important for health.","HealthyWhooo profile v1"
tartrazine,"A synthetic yellow dye used to color foods and drinks.","It gives products a bright, eye-catching color.","Some people prefer to limit artificial dyes in their diet.","caution","Approved for use, but often avoided in highly processed foods.","caution","Safe for dogs in small amounts, but not needed.","caution","Safe for cats in small amounts and not useful.","HealthyWhooo profile v1"
quinoline_yellow,"A synthetic yellow dye used in food products.","It adds bright color to drinks and sweets.","It is commonly used in confectionery and desserts.","caution","Approved, but often limited by people avoiding artificial colors.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
sunset_yellow,"A synthetic orange-yellow dye used in foods.","It gives products a strong orange color.","It is widely used in candies and beverages.","caution","Approved, but often avoided by people limiting artificial dyes.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
carmine,"A red coloring made from crushed insects.","It is used to give foods a natural-looking red color.","Yes — this color really comes from insects, which surprises many people.","caution","Approved for use, but avoided by some for ethical or dietary reasons.","safe","Safe for dogs in small amounts, but only used for color.","safe","Safe for cats in small amounts and not nutritionally relevant.","HealthyWhooo profile v1"
azorubine,"A synthetic red dye used in foods and drinks.","It adds bright red color to sweets and beverages.","It is commonly used in desserts and processed products.","caution","Approved, but often limited by people avoiding artificial dyes.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
amaranth,"A synthetic red dye used to color food.","It gives products a deep pink-red color.","Amaranth has a long history of controversy and is more restricted than many other food dyes.","caution","Highly regulated and often avoided by people trying to limit artificial dyes.","caution","Safe for dogs in very small amounts, but not useful and best limited.","caution","Safe for cats in very small amounts, but not nutritionally useful.","HealthyWhooo profile v1"
ponceau_4r,"A synthetic red dye used in drinks, sweets, and desserts.","It gives food a bright red color that stands out on the shelf.","It is one of those ingredients many people skip simply because they prefer fewer artificial colors.","caution","Approved for use, but often limited by people avoiding synthetic dyes.","caution","Safe for dogs in small amounts, but only used for appearance.","caution","Safe for cats in small amounts and not nutritionally useful.","HealthyWhooo profile v1"
erythrosine,"A bright pink-red synthetic dye.","It is used to color candies, decorations, and sometimes cherries.","Its strong neon-like color makes it one of the most recognizable artificial food dyes.","caution","Approved in limited uses and often avoided in highly processed sweets.","caution","Safe for dogs in small amounts, but not needed in their diet.","caution","Safe for cats in small amounts and only used for color.","HealthyWhooo profile v1"
allura_red,"A synthetic red dye used in drinks, snacks, and candies.","It adds a strong, eye-catching red color.","It is one of the most common red food dyes in processed sweets.","caution","Approved for use, but often limited by people avoiding artificial colors.","caution","Safe for dogs in small amounts, but only affects appearance.","caution","Safe for cats in small amounts and not nutritionally useful.","HealthyWhooo profile v1"
patent_blue,"A synthetic blue dye used to color food and drinks.","It gives products a vivid blue shade.","Blue food is rare in nature, which is why it often comes from artificial coloring.","caution","Approved in limited uses, but often avoided in highly processed products.","caution","Safe for dogs in small amounts, but only used for appearance.","caution","Safe for cats in small amounts and not nutritionally relevant.","HealthyWhooo profile v1"
indigotine,"A synthetic blue dye, also known as indigo carmine.","It is used to color drinks, sweets, and desserts.","It is also used outside food, including some medical applications.","caution","Approved for use, but often limited by people avoiding synthetic dyes.","caution","Safe for dogs in small amounts, but unnecessary in their diet.","caution","Safe for cats in small amounts and only used for color.","HealthyWhooo profile v1"
brilliant_blue,"A synthetic blue dye used in food and drinks.","It gives products a bright, clear blue color.","Very bright blue food usually means a dye like this is doing the work.","caution","Approved for use, but many people prefer more natural alternatives.","caution","Safe for dogs in small amounts, but only used for appearance.","caution","Safe for cats in small amounts and not nutritionally useful.","HealthyWhooo profile v1"
chlorophylls,"Green pigments naturally found in plants.","They are used to color foods green.","This is basically the same pigment that makes leaves green.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
chlorophyll_copper,"A stabilized green coloring based on chlorophyll.","It is used to create a stronger and longer-lasting green color.","It keeps its color better than natural chlorophyll, which makes it more practical in food production.","caution","Approved for use, but more processed than natural chlorophyll.","safe","Safe for dogs in small amounts, but mainly used for color.","safe","Safe for cats in small amounts and not nutritionally relevant.","HealthyWhooo profile v1"
green_s,"A synthetic green dye used in sweets and beverages.","It adds a bright green color to processed foods.","Green food color often looks fun, but it usually has no nutritional purpose at all.","caution","Approved for use, but often avoided by people limiting artificial dyes.","caution","Safe for dogs in small amounts, but only used for appearance.","caution","Safe for cats in small amounts and not useful nutritionally.","HealthyWhooo profile v1"
plain_caramel,"A brown coloring made by heating sugar.","It gives foods and drinks a warm brown color.","This is the same basic process used when sugar caramelizes in your kitchen.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
ammonia_caramel,"A caramel color made using ammonia during processing.","It creates a darker and more stable brown color.","It is different from homemade caramel because it is produced in a controlled industrial process.","caution","Approved for use, but more processed than simple caramel.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
sulphite_ammonia_caramel,"A highly processed caramel coloring used in dark beverages.","It produces a very deep and consistent brown color.","This is the type often used in cola drinks.","caution","Approved, but associated with highly processed products.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
vegetable_carbon,"A black pigment made from burned plant material.","It is used to give food a deep black color.","Yes — this is basically edible charcoal used for coloring.","caution","Generally safe, but mainly used for visual effect.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
brown_ht,"A synthetic brown dye used in food products.","It adds brown color to baked goods and sweets.","It is one of the artificial dyes some people prefer to avoid.","caution","Approved for use, but often limited by people avoiding synthetic dyes.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
carotenes,"Natural pigments found in plants like carrots.","They give foods a yellow to orange color.","They are also linked to vitamin A and nutrition.","safe","Generally safe and naturally derived.","safe","Safe for dogs and can support nutrition.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
annatto,"A natural orange coloring from plant seeds.","It is used to color foods like cheese and butter.","It comes from the seeds of the achiote plant.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
paprika_extract,"A natural pigment from red peppers.","It adds orange-red color and sometimes mild flavor.","It is both a color and a spice ingredient.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
lycopene,"A red pigment found naturally in tomatoes.","It is used to color foods and has antioxidant properties.","It is one of the compounds that gives tomatoes their red color.","safe","Generally safe and naturally occurring.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
beta_apo_carotenal,"A pigment related to natural carotenoids.","It gives food an orange color.","It belongs to the same family as vitamin A-related compounds.","safe","Generally safe and related to natural pigments.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
lutein,"A natural yellow pigment found in plants.","It is used to color food and is also known for supporting eye health.","It is naturally present in leafy green vegetables like spinach.","safe","Generally safe and associated with beneficial nutrients.","safe","Safe for dogs in small amounts and may support health.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
canthaxanthin,"A red-orange pigment used to color food.","It gives products a strong orange or reddish color.","It is also used in fish farming to enhance the color of salmon.","caution","Approved for use, but regulated and sometimes limited.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
beetroot_red,"A natural red pigment extracted from beetroot.","It is used to color drinks, desserts, and sauces.","It comes directly from vegetables, making it a popular natural alternative.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
anthocyanins,"Natural pigments found in fruits like berries and grapes.","They give foods red, purple, or blue colors.","They are also known for antioxidant properties.","safe","Generally safe and linked to beneficial plant compounds.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
calcium_carbonate,"A natural mineral used in food.","It adds calcium and helps stabilize products.","It is also commonly used as a dietary supplement.","safe","Generally safe and can support calcium intake.","safe","Safe for dogs and may support bone health.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
titanium_dioxide,"A white pigment used to make food look brighter and more opaque.","It is often used in coatings and candies.","It has been restricted or banned in some regions due to ongoing safety discussions.","limit","Highly regulated and often avoided due to safety concerns.","caution","Not recommended for dogs due to safety concerns.","caution","Not recommended for cats and not nutritionally useful.","HealthyWhooo profile v1"
iron_oxides,"Mineral pigments made from iron compounds.","They are used to color food in shades of red, yellow, or black.","They are also widely used in cosmetics.","safe","Generally safe and used in small controlled amounts.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
aluminium,"A metallic pigment used for decorative food effects.","It creates a shiny, metallic look in foods.","It is used only in very small amounts for decoration.","limit","Highly regulated and typically limited to decorative use.","caution","Not recommended for dogs beyond trace exposure.","caution","Not recommended for cats and not nutritionally useful.","HealthyWhooo profile v1"
silver,"An edible metal used for decoration in food.","It adds a shiny, luxury appearance to desserts.","It is often used in confectionery and high-end products.","caution","Generally safe in tiny amounts, but only decorative.","safe","Safe for dogs in trace amounts.","safe","Safe for cats in trace amounts.","HealthyWhooo profile v1"
gold,"An edible metal used in luxury food decoration.","It is used to create a premium visual effect.","Gold in food has no taste — it is purely for appearance.","safe","Generally safe in very small decorative amounts.","safe","Safe for dogs in trace amounts.","safe","Safe for cats in trace amounts.","HealthyWhooo profile v1"
litholrubine,"A synthetic red dye used mainly on food surfaces.","It is used to color coatings like cheese rinds.","It is not meant to be eaten in large amounts, but rather to color the outside.","caution","Approved in specific uses, but limited to surface applications.","caution","Safe for dogs in very small exposure, but not relevant nutritionally.","caution","Safe for cats in very small exposure and not useful nutritionally.","HealthyWhooo profile v1"
boric_acid,"A preservative once used to prevent spoilage.","It helped extend shelf life in certain foods.","It is now highly restricted and rarely used in modern food products.","limit","Highly regulated and largely phased out due to safety concerns.","avoid","Not safe for dogs and should be avoided.","avoid","Not safe for cats and should be avoided.","HealthyWhooo profile v1"
sodium_tetraborate,"A mineral compound also known as borax.","It was historically used as a food preservative.","Today it is heavily restricted and not commonly used in food.","limit","Highly regulated and generally avoided in modern diets.","avoid","Unsafe for dogs and not allowed in pet food.","avoid","Unsafe for cats and not suitable for consumption.","HealthyWhooo profile v1"
erythritol,"A sugar alcohol used as a low-calorie sweetener.","It provides sweetness without raising blood sugar significantly.","It is popular in keto and sugar-free products.","caution","Generally safe, but large amounts may cause digestive discomfort.","caution","Usually safe for dogs in small amounts, but not necessary.","caution","Safe for cats in small amounts, but offers no benefit.","HealthyWhooo profile v1"
xylitol,"A sugar substitute that tastes similar to sugar.","It is used in sugar-free gum and sweets.","It is extremely dangerous for dogs, even in small amounts.","safe","Generally safe for humans in normal amounts.","avoid","Very toxic for dogs and can cause life-threatening reactions.","caution","Not recommended for cats and offers no nutritional value.","HealthyWhooo profile v1"
lactitol,"A sugar alcohol derived from milk sugar.","It is used in sugar-free foods as a sweetener.","Large amounts can cause digestive discomfort.","caution","Generally safe, but may cause bloating in high intake.","caution","Not toxic for dogs, but may upset digestion.","caution","Not useful for cats and may cause digestive issues.","HealthyWhooo profile v1"
maltitol,"A sugar alcohol used to replace sugar in sweets.","It provides sweetness with fewer calories than sugar.","Too much can cause digestive discomfort.","caution","Generally safe, but often linked to digestive issues in large amounts.","caution","Not toxic for dogs, but not beneficial.","caution","Not suitable for cats and may affect digestion.","HealthyWhooo profile v1"
polyglycitol_syrup,"A mixture of sugar alcohols used as a sweetener.","It adds sweetness and helps improve texture.","It is often used in sugar-free and reduced-sugar foods.","caution","Generally safe, but large amounts may upset digestion.","caution","Not toxic for dogs, but unnecessary.","caution","Not suitable for cats and offers no benefit.","HealthyWhooo profile v1"
isomalt,"A sugar alcohol used in sugar-free sweets.","It adds both sweetness and structure.","It is often used in decorative candies because it holds shape well.","caution","Generally safe, but may cause digestive discomfort in large amounts.","caution","Not toxic for dogs, but not beneficial.","caution","Not useful for cats and may affect digestion.","HealthyWhooo profile v1"
advantame,"A very strong artificial sweetener.","It adds intense sweetness without sugar.","It is thousands of times sweeter than regular sugar.","caution","Approved for use, but highly processed and used in tiny amounts.","caution","Safe for dogs in very small amounts, but not needed.","caution","Safe for cats in very small amounts and not nutritionally relevant.","HealthyWhooo profile v1"
neotame,"A very strong artificial sweetener.","It adds intense sweetness using extremely small amounts.","It is thousands of times sweeter than sugar.","caution","Approved for use, but highly processed and used in tiny amounts.","caution","Safe for dogs in very small amounts, but not beneficial.","caution","Safe for cats in very small amounts and not nutritionally useful.","HealthyWhooo profile v1"
thaumatin,"A natural sweet protein from tropical plants.","It adds sweetness and can enhance flavor.","It is one of the few sweeteners that comes from a protein.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
neohesperidin_dc,"A sweetener derived from citrus compounds.","It adds sweetness and enhances flavor.","It is often used together with other sweeteners for better taste.","caution","Approved for use, but still a processed additive.","caution","Safe for dogs in small amounts.","caution","Safe for cats in small amounts.","HealthyWhooo profile v1"
aspartame_acesulfame_salt,"A combination of two artificial sweeteners.","It creates a stronger and more balanced sweetness.","It is commonly used in diet and sugar-free products.","caution","Approved, but strongly associated with processed foods.","caution","Safe for dogs in small amounts, but unnecessary.","caution","Safe for cats in small amounts and not beneficial.","HealthyWhooo profile v1"
hydrogenated_poly_1_decene,"A synthetic wax used as a food coating.","It helps protect surfaces and add shine.","It is used to make foods look smoother and more appealing.","caution","Approved in small amounts, but clearly a processed additive.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
oxidised_polyethylene_wax,"A processed wax used to coat food surfaces.","It protects products and adds shine.","It is designed to handle industrial food processing conditions.","caution","Approved under limits, but highly processed.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
montan_acid_esters,"A wax used to coat fruits and sweets.","It forms a protective layer and improves appearance.","It helps products last longer and look more attractive.","caution","Approved for limited uses, but associated with processed coatings.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
high_viscosity_mineral_oil,"A refined oil used as a surface coating.","It protects food and prevents sticking.","It is strictly regulated and mainly used during processing.","limit","Highly controlled and often avoided in everyday foods.","caution","Not recommended for dogs beyond trace exposure.","caution","Not recommended for cats and not nutritionally useful.","HealthyWhooo profile v1"
candelilla_wax,"A natural plant wax used to coat food.","It creates a protective layer and shiny surface.","It is commonly used in candies and plant-based coatings.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
carnauba_wax,"A natural wax from palm leaves.","It is used to create a shiny coating on foods.","It is often used on apples and candies to improve appearance.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
shellac,"A natural resin produced by insects.","It is used as a shiny coating on candies and fruits.","Yes — this ingredient comes from insects, which surprises many people.","caution","Approved for use, but not suitable for vegan diets.","safe","Safe for dogs in small amounts, but only used for coating.","safe","Safe for cats in small amounts and not nutritionally useful.","HealthyWhooo profile v1"
beeswax,"A natural wax produced by bees.","It is used to coat food and protect surfaces.","It is the same substance bees use to build honeycombs.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
microcrystalline_wax,"A wax derived from petroleum.","It is used as a protective coating on food.","It helps create a smooth, shiny surface on products.","caution","Approved under limits, but highly processed.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
dimethyl_polysiloxane,"A silicone-based compound used in food processing.","It prevents foam during cooking or frying.","It is used so oils do not bubble excessively during production.","caution","Approved in very small amounts, but clearly a processed additive.","safe","Safe for dogs in trace amounts.","safe","Safe for cats in trace amounts.","HealthyWhooo profile v1"
carbamide,"A chemical compound also known as urea.","It is used in some baking processes.","It is also widely known for use in fertilizers.","caution","Highly regulated and rarely used in modern food products.","avoid","Not recommended for dogs.","avoid","Not recommended for cats.","HealthyWhooo profile v1"
chlorine_dioxide,"A chemical used in food processing, mainly for flour treatment.","It helps improve color and consistency.","It is strictly controlled and used only in very small amounts.","limit","Highly regulated and often avoided due to processing concerns.","avoid","Not recommended for dogs.","avoid","Not recommended for cats.","HealthyWhooo profile v1"
propane,"A gas used as a propellant in food sprays.","It helps release oils or products from containers.","It is used in very small amounts and does not remain in the final food.","caution","Approved in specific uses, mainly for processing.","safe","Safe for dogs due to negligible exposure.","safe","Safe for cats due to negligible exposure.","HealthyWhooo profile v1"
butane,"A gas used as a propellant in food sprays.","It helps dispense products evenly from containers.","It evaporates quickly and is not present in the final product.","caution","Approved in controlled uses.","safe","Safe for dogs due to negligible exposure.","safe","Safe for cats due to negligible exposure.","HealthyWhooo profile v1"
isobutane,"A propellant gas used in aerosol food products.","It helps spray oils and creams.","It evaporates during use and does not remain in food.","caution","Approved in controlled applications.","safe","Safe for dogs due to minimal exposure.","safe","Safe for cats due to minimal exposure.","HealthyWhooo profile v1"
nitrous_oxide,"A gas used to create whipped textures in food.","It is used in whipped cream dispensers.","It is also known as laughing gas.","caution","Generally safe in food use, but used only for processing.","safe","Safe for dogs due to negligible exposure.","safe","Safe for cats due to negligible exposure.","HealthyWhooo profile v1"
nitrogen,"An inert gas used in food packaging.","It helps protect food from oxygen and keeps it fresh longer.","It is often used in snack packaging to prevent chips from going stale.","safe","Generally safe and used only for packaging, not as food itself.","safe","Safe for dogs due to indirect exposure.","safe","Safe for cats due to indirect exposure.","HealthyWhooo profile v1"
argon,"An inert gas used to preserve food freshness.","It protects products from oxidation.","It is commonly used in wine storage to keep flavor stable.","safe","Generally safe and used in packaging processes.","safe","Safe for dogs due to indirect exposure.","safe","Safe for cats due to indirect exposure.","HealthyWhooo profile v1"
helium,"A noble gas used in specialized food processing.","It helps control certain packaging environments.","It is better known for balloons than food use.","safe","Generally safe and used only in processing.","safe","Safe for dogs due to negligible exposure.","safe","Safe for cats due to negligible exposure.","HealthyWhooo profile v1"
oxygen,"A natural gas used in food packaging.","It helps control freshness and shelf life.","It is essential for life but carefully managed in food packaging.","safe","Generally safe and part of controlled packaging systems.","safe","Safe for dogs.","safe","Safe for cats.","HealthyWhooo profile v1"
hydrogen,"A gas used in food processing.","It is mainly used to modify fats during production.","This process can change the texture and stability of oils.","caution","Used in processing rather than present in final food.","safe","Safe for dogs due to minimal exposure.","safe","Safe for cats due to minimal exposure.","HealthyWhooo profile v1"
l_cysteine,"An amino acid used in baking.","It helps make dough softer and easier to handle.","It is often produced through fermentation processes.","caution","Approved, but often seen as a processing aid.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
invertase,"An enzyme that breaks down sugar.","It is used to create soft or liquid fillings inside candies.","It is the reason some chocolates have a soft center over time.","safe","Generally safe and used in food processing.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
lysozyme,"An enzyme with antibacterial properties.","It is used to help preserve certain foods like cheese.","It is often derived from egg, which matters for allergies.","caution","Generally safe, but important for people with egg allergies.","caution","Safe for dogs, but derived from egg.","caution","Safe for cats, but derived from egg.","HealthyWhooo profile v1"
quillaia_extract,"A plant extract used to create foam in drinks.","It helps beverages maintain a stable foam layer.","It is made from the bark of the quillaja tree.","caution","Approved in small amounts, mainly for texture and appearance.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
polyvinylpyrrolidone,"A synthetic stabilizer used in food processing.","It helps clarify beverages like beer and wine.","It is often removed after processing and not present in final product.","caution","Approved as processing aid, but not a nutritional ingredient.","safe","Safe for dogs due to minimal exposure.","safe","Safe for cats due to minimal exposure.","HealthyWhooo profile v1"
polyvinylpolypyrrolidone,"A synthetic polymer used in beverage processing.","It helps remove unwanted particles to make drinks clear.","It is commonly used in beer and wine production.","caution","Used mainly during processing and not meant as a food ingredient.","safe","Safe for dogs due to minimal exposure.","safe","Safe for cats due to minimal exposure.","HealthyWhooo profile v1"
polyvinyl_alcohol,"A synthetic polymer used in coatings and processing.","It helps stabilize products and form protective layers.","It is also used in packaging and non-food applications.","caution","Approved under limits, but highly processed.","safe","Safe for dogs in trace amounts.","safe","Safe for cats in trace amounts.","HealthyWhooo profile v1"
pullulan,"A natural substance made through fermentation.","It forms thin, edible films and coatings.","It is often used in capsules and food coatings.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
glycerol,"A syrup-like ingredient that helps retain moisture.","It keeps foods soft and prevents them from drying out.","It is also widely used in cosmetics and skincare.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
mannitol,"A sugar alcohol used as a sweetener.","It provides sweetness with fewer calories than sugar.","Large amounts can cause digestive discomfort.","caution","Generally safe, but may cause bloating or laxative effects.","caution","Safe for dogs in small amounts, but not beneficial.","caution","Safe for cats in small amounts, but not useful nutritionally.","HealthyWhooo profile v1"
sorbitol,"A sugar alcohol that adds sweetness and moisture.","It helps keep foods soft and slightly sweet.","Too much can lead to digestive discomfort.","caution","Generally safe, but high intake may cause bloating.","caution","Safe for dogs in small amounts, but unnecessary.","caution","Safe for cats in small amounts and not beneficial.","HealthyWhooo profile v1"
gellan_gum,"A thickener produced by fermentation.","It helps create gels and stabilize food textures.","It is often used in plant-based milks and desserts.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
tara_gum,"A plant-based thickener made from tara seeds.","It improves texture and stability in foods.","It works similarly to other plant gums.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
karaya_gum,"A natural gum extracted from tree sap.","It is used to thicken and stabilize foods.","It has been used in food for many years.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
xanthan_gum,"A thickener made through fermentation.","It helps foods stay smooth and evenly mixed.","It is very common in gluten-free and processed foods.","safe","Generally safe, though some people prefer to limit gums.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
gum_arabic,"A natural gum from acacia trees.","It is used to stabilize drinks and sweets.","It has been used in food for centuries.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
tragacanth,"A natural plant gum used as thickener.","It improves texture and consistency in foods.","It has been used since ancient times.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
guar_gum,"A fiber from guar beans used as thickener.","It helps foods stay smooth and consistent.","It can absorb large amounts of water.","caution","Generally safe, but sometimes limited in highly processed foods.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
locust_bean_gum,"A plant gum from carob seeds.","It is used to thicken and stabilize foods.","It is common in ice cream and dairy desserts.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
processed_eucheuma_seaweed,"A seaweed-based thickener similar to carrageenan.","It helps create smooth textures in food.","It is often discussed together with carrageenan.","caution","Approved, but sometimes debated in digestion discussions.","caution","Safe for dogs in small amounts, but sensitive animals may react.","caution","Safe for cats in small amounts, but may affect sensitive digestion.","HealthyWhooo profile v1"
carrageenan,"A thickener made from red seaweed.","It is used to stabilize dairy and plant-based products.","It is widely used but sometimes debated.","caution","Approved, but some people prefer to limit it.","caution","Safe for dogs in small amounts, but may affect sensitive stomachs.","caution","Safe for cats in small amounts, but may affect digestion.","HealthyWhooo profile v1"
agar,"A gel-forming substance from algae.","It is used as a plant-based alternative to gelatin.","It creates firm textures in desserts.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
propane_alginate,"A modified seaweed-based thickener.","It improves stability and texture in foods.","It is more processed than natural alginates.","caution","Approved, but considered a more processed additive.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
calcium_alginate,"A salt derived from seaweed.","It is used to form gels and stabilize foods.","It is often used in modern cooking techniques.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
